,City,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,babanusah,40,1581539424.0,88.0,-20.41,57.7,80.6,12.75
1,babanusah,100,1581539425.0,96.0,60.12,64.78,17.17,4.9
2,babanusah,50,1581539425.0,92.0,-24.79,-50.01,66.4,3.22
3,babanusah,1,1581539425.0,65.0,19.73,-155.09,78.01,12.75
4,babanusah,90,1581539092.0,86.0,57.79,-152.41,33.8,16.11
5,babanusah,100,1581539092.0,78.0,-23.12,-134.97,79.11,17.52
6,babanusah,40,1581539426.0,57.0,-54.8,-68.3,55.4,24.16
7,babanusah,100,1581539426.0,85.0,68.05,39.51,31.55,24.02
8,babanusah,37,1581539426.0,93.0,62.14,117.63,-15.25,6.91
9,babanusah,0,1581539426.0,47.0,-37.62,-73.65,65.35,11.39
10,babanusah,75,1581539427.0,78.0,-21.2,-175.2,80.6,9.17
11,babanusah,0,,,,,,
12,babanusah,90,1581539385.0,96.0,39.18,-84.53,37.0,10.29
13,babanusah,75,1581539427.0,69.0,42.33,-83.33,35.6,10.29
14,babanusah,100,1581539129.0,86.0,71.92,114.08,-17.59,8.3
15,babanusah,89,1581539428.0,84.0,-8.14,159.59,80.67,9.55
16,babanusah,20,1581539273.0,64.0,20.89,-156.47,75.2,16.84
17,babanusah,40,1581539428.0,74.0,52.14,-122.14,30.2,6.93
18,babanusah,100,1581539428.0,81.0,70.63,147.92,-24.61,2.91
19,babanusah,6,1581539428.0,9.0,18.44,1.41,71.13,11.56
20,babanusah,20,1581539429.0,74.0,62.46,-114.35,-24.0,8.05
21,babanusah,40,1581539429.0,74.0,13.22,-59.52,80.6,23.04
22,babanusah,0,1581539429.0,86.0,-33.59,26.89,68.0,5.99
23,babanusah,40,1581539144.0,61.0,-27.28,-48.85,78.8,9.17
24,babanusah,0,,,,,,
25,babanusah,0,1581539433.0,74.0,-28.78,32.04,75.47,7.45
26,babanusah,89,1581539433.0,96.0,71.97,102.5,-3.37,9.86
27,babanusah,0,1581539165.0,88.0,-38.0,-57.56,88.0,9.17
28,babanusah,0,1581539434.0,96.0,69.38,178.42,-17.03,10.78
29,babanusah,75,1581539434.0,86.0,55.75,38.0,28.99,6.71
30,babanusah,1,1581539434.0,74.0,51.15,11.82,39.0,13.87
31,babanusah,75,1581539434.0,77.0,64.38,-173.3,5.0,2.51
32,babanusah,0,1581539437.0,49.0,-33.65,115.33,70.0,9.64
33,babanusah,0,1581539345.0,48.0,60.14,-45.24,16.29,12.97
34,babanusah,0,1581539387.0,93.0,22.29,114.16,69.01,3.36
35,babanusah,100,1581539438.0,84.0,3.07,172.79,81.86,17.92
36,babanusah,0,1581539287.0,25.0,-25.24,130.99,86.0,8.05
37,babanusah,90,1581539438.0,62.0,55.74,-97.86,-14.8,14.99
38,babanusah,0,,,,,,
39,babanusah,20,1581539439.0,94.0,5.41,100.34,78.8,3.36
40,babanusah,75,1581539439.0,100.0,-34.58,150.86,72.0,11.41
41,babanusah,4,1581539442.0,33.0,-7.33,-75.02,95.54,6.11
42,babanusah,98,1581539220.0,94.0,66.56,67.8,14.09,11.5
43,babanusah,36,1581539467.0,91.0,71.69,128.87,-27.63,5.37
44,babanusah,20,1581539467.0,87.0,38.8,-9.45,57.2,4.7
45,babanusah,1,1581539467.0,86.0,-30.74,30.45,65.01,6.8
46,babanusah,15,1581539467.0,36.0,8.25,34.58,80.01,3.13
47,babanusah,0,,,,,,
48,babanusah,99,1581539468.0,32.0,33.64,42.83,48.38,15.35
49,babanusah,100,1581539468.0,55.0,-46.28,169.85,72.0,15.21
50,babanusah,40,1581539471.0,42.0,-45.58,-72.07,62.6,8.05
51,babanusah,0,1581539472.0,73.0,68.75,161.3,-12.01,4.97
